time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-11-22,580.4,512.71,552.13,5029183.95,2756448122.27,560.45,direct,
2020-11-23,610.73,550.78,560.45,5605280.87,3285906548.11,608.75,direct,
2020-11-24,622.15,593.02,608.75,4554538.59,2768349700.09,604.85,direct,
2020-11-25,605.84,555.0,604.85,3638910.06,2140801057.63,569.49,direct,
2020-11-26,576.57,482.81,569.49,6791915.83,3503235720.71,519.64,direct,
2020-11-27,530.23,494.22,519.64,3564822.64,1831974365.66,518.39,direct,
2020-11-28,547.77,507.06,518.39,2819676.23,1486252460.79,537.63,direct,
2020-11-29,576.52,530.88,537.63,2782555.85,1535037271.83,575.73,direct,
2020-11-30,616.45,570.96,575.73,4603326.02,2741838168.54,616.36,direct,
2020-12-01,635.15,571.29,616.36,6400143.89,3844471973.14,585.42,direct,
2020-12-02,604.17,575.93,585.42,3153667.06,1865692266.76,597.83,direct,
2020-12-03,622.89,586.79,597.83,2676408.33,1622954283.97,615.97,direct,
2020-12-04,619.63,566.33,615.97,3019363.69,1791249952.88,567.42,direct,
2020-12-05,596.92,561.14,567.42,2022448.28,1182279360.14,596.77,direct,
2020-12-06,607.27,583.42,596.77,1805604.89,1076684355.74,601.73,direct,
2020-12-07,602.8,584.65,601.73,1557457.07,924237522.16,591.22,direct,
2020-12-08,594.85,550.68,591.22,2707133.5,1553949723.39,555.1,direct,
2020-12-09,577.51,530.92,555.1,3453014.71,1922825279.74,573.38,direct,
2020-12-10,575.05,548.58,573.38,2263006.85,1269482351.24,558.5,direct,
2020-12-11,560.4,536.37,558.5,2476632.45,1351361695.8,544.57,direct,
2020-12-12,573.53,543.74,544.57,1555367.64,869614908.11,567.88,direct,
2020-12-13,594.78,563.47,567.88,2017860.74,1174982385.06,590.89,direct,
2020-12-14,591.29,576.06,590.89,1481424.67,865809100.2,586.29,direct,
2020-12-15,596.86,579.96,586.29,1603272.93,942185349.71,588.74,direct,
2020-12-16,638.54,581.01,588.74,3130179.58,1908657850.06,637.41,direct,
2020-12-17,675.72,627.44,637.41,5297545.33,3450073365.52,643.42,direct,
2020-12-18,664.07,630.12,643.42,2961936.66,1914086580.32,653.99,direct,
2020-12-19,669.6,645.96,653.99,2391509.03,1570094084.44,658.21,direct,
2020-12-20,660.9,623.14,658.21,2383362.16,1542352567.85,638.22,direct,
2020-12-21,647.89,598.03,638.22,2743345.21,1701584406.65,607.71,direct,
2020-12-22,637.42,588.33,607.71,2551397.28,1564982800.12,636.95,direct,
2020-12-23,638.07,558.27,636.95,3336221.61,2020479212.34,585.84,direct,
2020-12-24,614.75,566.22,585.84,2553149.38,1498024393.08,612.46,direct,
2020-12-25,633.9,604.79,612.46,2315182.92,1433072224.89,626.68,direct,
2020-12-26,652.63,616.09,626.68,2654709.73,1682098136.1,636.78,direct,
2020-12-27,715.5,627.47,636.78,5155104.89,3457856433.6,684.73,direct,
2020-12-28,747.77,682.3,684.73,4509594.23,3268766530.47,730.35,direct,
2020-12-29,740.12,690.43,730.35,3280144.45,2354393401.76,731.82,direct,
2020-12-30,757.4,718.86,731.82,2707228.78,1995313960.36,752.03,direct,
2020-12-31,755.18,724.05,752.03,2312263.55,1710101051.87,736.02,direct,
2021-01-01,748.82,715.91,736.02,1921991.51,1413004321.79,729.02,direct,
2021-01-02,787.36,715.18,729.02,3454651.18,2611630285.33,774.59,direct,
2021-01-03,1008.31,769.12,774.59,6789181.99,6079050650.08,976.99,direct,
2021-01-04,1146.45,915.19,976.99,10296564.65,10420319367.22,1042.49,direct,
2021-01-05,1129.41,976.91,1042.49,6567726.76,6925322261.37,1099.55,direct,
2021-01-06,1211.86,1059.18,1099.55,5692196.53,6486973207.85,1207.19,direct,
2021-01-07,1287.75,1162.25,1207.19,4970230.86,6059066926.2,1224.78,direct,
2021-01-08,1272.72,1088.88,1224.78,5769954.17,6868112843.1,1216.51,direct,
2021-01-09,1301.41,1173.81,1216.51,3389490.16,4158566846.38,1275.61,direct,
2021-01-10,1347.64,1192.8,1275.61,4881365.82,6304721861.07,1255.41,direct,
2021-01-11,1258.44,921.21,1255.41,9184298.78,9699085997.65,1087.49,direct,
2021-01-12,1149.48,1008.69,1087.49,5615780.11,6079537174.88,1049.71,direct,
2021-01-13,1136.33,991.27,1049.71,4038911.86,4296065762.57,1130.35,direct,
2021-01-14,1246.35,1089.14,1130.35,4185646.03,4908718248.25,1232.07,direct,
2021-01-15,1255.35,1100.01,1232.07,4998761.37,5920845145.09,1169.83,direct,
2021-01-16,1289.29,1152.83,1169.83,4029995.69,4928002118.68,1228.2,direct,
2021-01-17,1268.74,1168.18,1228.2,3572067.52,4358737490.63,1232.78,direct,
2021-01-18,1260.17,1183.9,1232.78,2910501.34,3568076782.54,1258.17,direct,
2021-01-19,1436.08,1252.63,1258.17,5529152.19,7566666335.51,1368.94,direct,
2021-01-20,1407.21,1245.85,1368.94,5451216.02,7205194493.29,1376.83,direct,
2021-01-21,1384.36,1102.44,1376.83,5792608.03,7163168046.89,1113.96,direct,
2021-01-22,1272.67,1043.54,1113.96,5012945.02,5854605988.31,1233.64,direct,
2021-01-23,1271.38,1196.98,1233.64,2663483.93,3300176000.04,1233.42,direct,
2021-01-24,1396.93,1221.97,1233.42,3541946.92,4677725128.13,1390.85,direct,
2021-01-25,1465.92,1297.66,1390.85,4362172.61,6119401126.53,1318.41,direct,
2021-01-26,1377.85,1246.27,1318.41,4228921.6,5569673710.42,1365.58,direct,
